STATE,COUNTY,STATENAME,COUNTYNAME,POP_COU,AREA_COU,POP_URBAN,POPPCT_URBAN,AREA_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POP_UA,POPPCT_UA,AREA_UA,AREAPCT_UA,POPDEN_UA,POP_UC,POPPCT_UC,AREA_UC,AREAPCT_UC,POPDEN_UC,POP_RURAL,POPPCT_RURAL,AREA_RURAL,AREAPCT_RURAL,POPDEN_RURAL
53,021,Washington,Franklin,78163,3217208258,67741,86.67,85412266,2.65,2054.1,63665,81.45,78393242,2.44,2103.4,4076,5.21,7019024,0.22,1504,10422,13.33,3131795992,97.35,8.6
53,023,Washington,Garfield,2266,1840669150,0,0,0,0,,0,0,0,0,,0,0,0,0,,2266,100,1840669150,100,3.2
53,025,Washington,Grant,89120,6939907170,54587,61.25,87942144,1.27,1607.6,0,0,0,0,,54587,61.25,87942144,1.27,1607.6,34533,38.75,6851965026,98.73,13.1
53,027,Washington,Grays Harbor,72797,4926225833,43596,59.89,68597414,1.39,1646,0,0,0,0,,43596,59.89,68597414,1.39,1646,29201,40.11,4857628419,98.61,15.6
53,029,Washington,Island,78506,539879663,41690,53.1,99907054,18.51,1080.8,0,0,0,0,,41690,53.1,99907054,18.51,1080.8,36816,46.9,439972609,81.49,216.7
53,031,Washington,Jefferson,29872,4671561779,12705,42.53,22348475,0.48,1472.4,0,0,0,0,,12705,42.53,22348475,0.48,1472.4,17167,57.47,4649213304,99.52,9.6
53,033,Washington,King,1931249,5479291809,1869311,96.79,1365807997,24.93,3544.8,1848719,95.73,1334829694,24.36,3587.1,20592,1.07,30978303,0.57,1721.6,61938,3.21,4113483812,75.07,39
53,035,Washington,Kitsap,251133,1022893152,209089,83.26,388951330,38.02,1392.3,201151,80.1,363110643,35.5,1434.8,7938,3.16,25840687,2.53,795.6,42044,16.74,633941822,61.98,171.8
53,037,Washington,Kittitas,40915,5949903934,24526,59.94,30724325,0.52,2067.5,0,0,0,0,,24526,59.94,30724325,0.52,2067.5,16389,40.06,5919179609,99.48,7.2
53,039,Washington,Klickitat,20318,4846679228,8084,39.79,17075553,0.35,1226.2,0,0,0,0,,8084,39.79,17075553,0.35,1226.2,12234,60.21,4829603675,99.65,6.6
53,041,Washington,Lewis,75455,6223229463,29688,39.35,53342399,0.86,1441.5,0,0,0,0,,29688,39.35,53342399,0.86,1441.5,45767,60.65,6169887064,99.14,19.2
53,043,Washington,Lincoln,10570,5984151955,0,0,0,0,,0,0,0,0,,0,0,0,0,,10570,100,5984151955,100,4.6
53,045,Washington,Mason,60699,2484878730,22036,36.3,54937352,2.21,1038.9,0,0,0,0,,22036,36.3,54937352,2.21,1038.9,38663,63.7,2429941378,97.79,41.2
53,047,Washington,Okanogan,41120,13643999206,8229,20.01,12267005,0.09,1737.4,0,0,0,0,,8229,20.01,12267005,0.09,1737.4,32891,79.99,13631732201,99.91,6.2
53,049,Washington,Pacific,20920,2415572451,7370,35.23,19904079,0.82,959,0,0,0,0,,7370,35.23,19904079,0.82,959,13550,64.77,2395668372,99.18,14.6
53,051,Washington,Pend Oreille,13001,3625955333,2196,16.89,2781516,0.08,2044.8,0,0,0,0,,2196,16.89,2781516,0.08,2044.8,10805,83.11,3623173817,99.92,7.7
53,053,Washington,Pierce,795225,4324005310,742814,93.41,899560971,20.8,2138.7,737886,92.79,889105916,20.56,2149.5,4928,0.62,10455055,0.24,1220.8,52411,6.59,3424444339,79.2,39.6
53,055,Washington,San Juan,15769,450437066,0,0,0,0,,0,0,0,0,,0,0,0,0,,15769,100,450437066,100,90.7
53,057,Washington,Skagit,116901,4483794950,82975,70.98,118045795,2.63,1820.5,62966,53.86,89280199,1.99,1826.6,20009,17.12,28765596,0.64,1801.6,33926,29.02,4365749155,97.37,20.1
