County,Crime
Canadian,8
Cleveland,41
Comanche,29
Cotton,0
Creek,65
Grady,20
Lincoln,27
Logan,19
McClain,11
Oklahoma,34
Okmulgee,6
Osage,24
Pawnee,16
Rogers,79
Sequoyah,48
Tulsa,202
Wagoner,30
Adair,40
Alfalfa,1
Atoka,2
Beaver,1
Beckham,6
Blaine,8
Bryan,22
Caddo,54
Carter,30
Cherokee,58
Choctaw,13
Cimarron,0
Coal,1
Craig,1
Custer,8
Dewey,0
Ellis,4
Garfield,11
Garvin,22
Grant,0
Greer,0
Harmon,1
Harper,1
Haskell,7
Hughes,1
Jackson,8
Jefferson,2
Johnston,44
Kay,19
Kingfisher,2
Kiowa,4
Latimer,19
Love,8
Major,6
Marshall,16
Mayes,8
McIntosh,27
Murray,16
Muskogee,82
Noble,4
Nowata,2
Okfuskee,9
Ottawa,4
Payne,25
Pittsburg,3
Pontotoc,26
Pottawatomie,38
Pushmataha,6
Roger Mills,3
Seminole,15
Stephens,17
Texas,2
Tillman,11
Washington,14
Washita,9
Woods,0
Woodward,11
