County,Crime
Box Elder,1
Cache,20
Davis,14
Juab,1
Salt Lake County Unified Police Department,885
Tooele,17
Utah,37
Washington,11
Weber,41
Beaver,6
Carbon,15
Daggett,0
Duchesne,28
Emery,10
Grand,8
Iron,38
Kane,11
Millard,33
Piute,5
Rich,3
San Juan,12
Sanpete,6
Sevier,16
Summit,34
Uintah,38
