County,Crime
Canadian,21
Cleveland,47
Comanche,43
Grady,31
Le Flore,32
Lincoln,20
Logan,21
McClain,18
Oklahoma,26
Pawnee,19
Rogers,61
Sequoyah,79
Tulsa,211
Wagoner,43
Adair,64
Alfalfa,2
Atoka,0
Beaver,2
Beckham,8
Blaine,2
Bryan,23
Caddo,85
Carter,128
Cherokee,27
Choctaw,20
Cimarron,0
Coal,4
Cotton,8
Craig,16
Custer,7
Delaware,54
Dewey,2
Ellis,9
Garfield,6
Garvin,30
Grant,0
Greer,2
Harmon,0
Harper,0
Haskell,48
Hughes,12
Jackson,6
Jefferson,1
Johnston,14
Kay,23
Kingfisher,0
Kiowa,3
Latimer,7
Love,1
Major,3
Marshall,25
Mayes,24
McCurtain,53
McIntosh,24
Murray,7
Muskogee,72
Noble,2
Nowata,10
Okfuskee,9
Ottawa,8
Pittsburg,22
Pontotoc,31
Pottawatomie,43
Pushmataha,15
Roger Mills,6
Stephens,41
Texas,5
Tillman,5
Washita,4
Woods,2
Woodward,15
