County,Crime
Box Elder,18
Cache,17
Davis,20
Juab,6
Salt Lake County Unified Police Department,861
Utah,40
Washington,29
Weber,36
Beaver,1
Carbon,11
Duchesne,38
Emery,16
Iron,25
Kane,10
Millard,38
Rich,2
San Juan,7
Sanpete,22
Sevier,15
Summit,25
Uintah,19
Wasatch,12
,
,
