County,Crime
Canadian,20
Cleveland,58
Comanche,28
Cotton,1
Creek,56
Grady,4
Le Flore,50
Lincoln,29
Logan,34
McClain,10
Oklahoma,20
Okmulgee,20
Osage,32
Pawnee,12
Rogers,103
Sequoyah,52
Tulsa,209
Wagoner,55
Adair,62
Alfalfa,1
Atoka,0
Beaver,4
Beckham,16
Blaine,2
Bryan,10
Caddo,38
Carter,17
Cherokee,74
Choctaw,20
Cimarron,0
Coal,2
Craig,9
Custer,5
Delaware,11
Dewey,1
Ellis,8
Garfield,10
Garvin,23
Grant,3
Greer,1
Harmon,0
Harper,0
Haskell,1
Hughes,8
Jackson,3
Jefferson,4
Kay,11
Kingfisher,5
Kiowa,6
Latimer,23
Love,1
Major,1
Marshall,14
Mayes,27
McCurtain,29
McIntosh,24
Murray,6
Muskogee,63
Noble,2
Nowata,2
Okfuskee,22
Ottawa,2
Payne,21
Pittsburg,1
Pontotoc,32
Pottawatomie,34
Pushmataha,14
Roger Mills,5
Seminole,11
Stephens,7
Texas,5
Tillman,11
Washita,23
Woods,3
Woodward,8
