County,Crime
Box Elder,7
Cache,13
Davis,16
Juab,1
Morgan,2
Salt Lake County Unified Police Department,694
Tooele,25
Utah,19
Washington,19
Weber,40
Beaver,11
Carbon,7
Daggett,0
Duchesne,24
Emery,8
Grand,14
Iron,38
Millard,22
Piute,0
Rich,5
San Juan,7
Sanpete,15
Sevier,20
Summit,34
Uintah,45
Wasatch,10
Wayne,1
