County,Violent crime
Andrew,33
Bates,50
Bollinger,87
Boone,125
Buchanan,28
Caldwell,17
Callaway,117
Cape Girardeau,33
Cass,60
Christian,95
Clay,50
Clinton,24
Cole,42
Dallas,22
DeKalb,5
Franklin,71
Greene,83
Jackson,85
Jasper,123
Jefferson,196
Lafayette,10
Lincoln,132
McDonald,101
Moniteau,1
Newton3,
Osage,3
Platte,41
Polk,50
Ray,102
St. Charles,0
St. Charles County Police Department,114
St. Louis County Police Department,1784
Warren,68
Webster,11
Adair,8
Atchison,1
Audrain,22
Barry,40
Barton,27
Benton,80
Butler,86
Camden4,
Carroll,3
Carter,36
Cedar,37
Chariton,13
Clark,12
Cooper,7
Crawford,20
Dade,28
Daviess,9
Dent,7
Douglas,17
Dunklin,22
Gasconade,18
Gentry,4
Grundy,2
Harrison,2
Henry,54
Hickory,0
Holt,5
Howard,9
Howell,53
Iron,16
Johnson,38
Knox,0
Laclede,45
Lawrence,60
Lewis,3
Linn,10
Livingston,1
Macon,14
Madison,17
Maries,10
Marion,8
Mercer,0
Miller,61
Mississippi,9
Monroe,5
Montgomery,12
Morgan,36
Nodaway,7
Oregon,12
Ozark,15
Pemiscot,23
Perry,36
Pettis,29
Phelps,19
Pike,2
Pulaski,65
Putnam,0
Ralls,19
Randolph,10
Reynolds,11
Ripley,15
Saline,5
Schuyler,7
Scotland,6
Scott,178
Shannon,24
Shelby,3
St. Clair,22
Ste. Genevieve,31
St. Francois,70
Stoddard,15
Stone,130
Sullivan,9
Taney,93
Texas,21
Vernon,68
Washington,106
Wayne,20
Worth,1
Wright,26
