County,Crime
Cache,21
Davis,17
Juab,3
Morgan,5
Salt Lake County Unified Police Department ,495
Summit,25
Tooele,19
Utah,36
Washington,17
Weber,40
Beaver,4
Box Elder,4
Carbon,8
Daggett,0
Duchesne,36
Emery,1
Grand,5
Iron,38
Millard,18
Rich,3
Sevier,12
Uintah,43
Wasatch,12
Wayne,0
,
