County,Violent crime,"Murder and nonnegligent manslaughter","Forcible rape",Robbery,"Aggravated assault","Property crime",Burglary,"Larceny-theft","Motor vehicle theft",Arson
Bay,44.0,0.0,8.0,5.0,31.0,704.0,123.0,549.0,32.0,3.0
Berrien,91.0,2.0,14.0,6.0,69.0,640.0,195.0,416.0,29.0,2.0
Clinton,10.0,0.0,4.0,1.0,5.0,182.0,68.0,100.0,14.0,1.0
Ingham,93.0,1.0,13.0,5.0,74.0,670.0,199.0,441.0,30.0,6.0
Jackson,103.0,4.0,9.0,5.0,85.0,589.0,161.0,406.0,22.0,2.0
Kent,357.0,1.0,58.0,57.0,241.0,3031.0,886.0,2039.0,106.0,13.0
Lapeer,51.0,0.0,15.0,2.0,34.0,388.0,125.0,244.0,19.0,1.0
Livingston,42.0,0.0,18.0,4.0,20.0,792.0,189.0,553.0,50.0,3.0
Macomb,308.0,0.0,48.0,38.0,222.0,2259.0,441.0,1668.0,150.0,20.0
Midland,52.0,1.0,25.0,0.0,26.0,415.0,132.0,275.0,8.0,3.0
Monroe,209.0,4.0,41.0,58.0,106.0,2614.0,708.0,1738.0,168.0,23.0
Montcalm,43.0,1.0,11.0,1.0,30.0,459.0,141.0,301.0,17.0,4.0
Muskegon,46.0,0.0,8.0,1.0,37.0,821.0,217.0,575.0,29.0,5.0
Oakland,1025.0,19.0,66.0,204.0,736.0,5412.0,1697.0,3379.0,336.0,82.0
Ottawa,319.0,2.0,118.0,21.0,178.0,3427.0,919.0,2439.0,69.0,24.0
Saginaw,91.0,0.0,11.0,15.0,65.0,621.0,167.0,416.0,38.0,1.0
St. Clair,134.0,2.0,21.0,8.0,103.0,1380.0,348.0,958.0,74.0,17.0
Washtenaw,446.0,1.0,66.0,67.0,312.0,2217.0,878.0,1172.0,167.0,29.0
Wayne,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Alcona,13.0,0.0,2.0,0.0,11.0,198.0,69.0,127.0,2.0,0.0
Alger,1.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0,0.0,1.0
Allegan,93.0,0.0,18.0,2.0,73.0,900.0,264.0,606.0,30.0,3.0
Alpena,1.0,0.0,0.0,0.0,1.0,75.0,21.0,54.0,0.0,0.0
Antrim,22.0,0.0,7.0,0.0,15.0,264.0,81.0,161.0,22.0,0.0
Arenac,17.0,0.0,3.0,1.0,13.0,188.0,66.0,110.0,12.0,3.0
Baraga,2.0,0.0,0.0,0.0,2.0,17.0,2.0,15.0,0.0,0.0
Branch,21.0,0.0,6.0,0.0,15.0,242.0,102.0,134.0,6.0,0.0
Charlevoix,10.0,0.0,6.0,0.0,4.0,140.0,25.0,107.0,8.0,2.0
Cheboygan,15.0,0.0,9.0,0.0,6.0,122.0,60.0,59.0,3.0,1.0
Chippewa,10.0,0.0,1.0,0.0,9.0,114.0,48.0,62.0,4.0,3.0
Crawford,25.0,0.0,5.0,0.0,20.0,153.0,71.0,76.0,6.0,0.0
Emmet,22.0,0.0,8.0,0.0,14.0,228.0,43.0,182.0,3.0,1.0
Gladwin,24.0,1.0,6.0,1.0,16.0,222.0,108.0,108.0,6.0,2.0
Gogebic,4.0,1.0,0.0,0.0,3.0,99.0,11.0,84.0,4.0,3.0
Grand Traverse,107.0,0.0,36.0,8.0,63.0,848.0,194.0,621.0,33.0,5.0
Gratiot,9.0,0.0,6.0,0.0,3.0,207.0,50.0,149.0,8.0,1.0
Houghton,2.0,0.0,0.0,0.0,2.0,96.0,16.0,78.0,2.0,0.0
Huron,15.0,0.0,6.0,0.0,9.0,207.0,77.0,123.0,7.0,0.0
Ionia,29.0,1.0,12.0,1.0,15.0,376.0,122.0,231.0,23.0,4.0
Iosco,1.0,0.0,0.0,0.0,1.0,15.0,4.0,10.0,1.0,1.0
Iron,9.0,0.0,1.0,0.0,8.0,56.0,25.0,29.0,2.0,0.0
Isabella,45.0,1.0,10.0,1.0,33.0,415.0,122.0,277.0,16.0,2.0
Kalkaska,23.0,0.0,11.0,1.0,11.0,383.0,131.0,237.0,15.0,1.0
Keweenaw,0.0,0.0,0.0,0.0,0.0,26.0,10.0,14.0,2.0,1.0
Luce,4.0,0.0,2.0,0.0,2.0,25.0,4.0,21.0,0.0,0.0
Mackinac,3.0,0.0,0.0,0.0,3.0,89.0,30.0,56.0,3.0,0.0
Manistee,23.0,1.0,4.0,2.0,16.0,136.0,31.0,101.0,4.0,1.0
Marquette,7.0,1.0,4.0,0.0,2.0,188.0,29.0,151.0,8.0,1.0
Mason,38.0,2.0,19.0,1.0,16.0,501.0,93.0,391.0,17.0,3.0
Mecosta,193.0,0.0,6.0,0.0,187.0,464.0,119.0,329.0,16.0,3.0
Menominee,15.0,0.0,6.0,0.0,9.0,162.0,69.0,91.0,2.0,0.0
Montmorency,3.0,0.0,1.0,0.0,2.0,24.0,21.0,3.0,0.0,0.0
Oceana,20.0,2.0,6.0,2.0,10.0,278.0,102.0,168.0,8.0,1.0
Ogemaw,21.0,0.0,1.0,1.0,19.0,247.0,93.0,139.0,15.0,2.0
Ontonagon,2.0,0.0,0.0,0.0,2.0,18.0,8.0,10.0,0.0,1.0
Osceola,16.0,0.0,2.0,2.0,12.0,184.0,48.0,126.0,10.0,1.0
Oscoda,13.0,0.0,1.0,0.0,12.0,232.0,83.0,139.0,10.0,1.0
Otsego,8.0,0.0,5.0,0.0,3.0,38.0,10.0,26.0,2.0,1.0
Presque Isle,5.0,0.0,0.0,0.0,5.0,61.0,35.0,26.0,0.0,1.0
Roscommon,21.0,0.0,7.0,2.0,12.0,224.0,62.0,158.0,4.0,2.0
Sanilac,30.0,0.0,5.0,1.0,24.0,245.0,92.0,142.0,11.0,5.0
Shiawassee,55.0,1.0,13.0,5.0,36.0,441.0,110.0,318.0,13.0,2.0
Tuscola,39.0,0.0,14.0,1.0,24.0,353.0,133.0,203.0,17.0,1.0
