County,Violent crime
Andrew,13
Bates,50
Bollinger,46
Boone,126
Buchanan,28
Caldwell,19
Callaway,105
Cape Girardeau,41
Cass,55
Christian,102
Clay,32
Clinton,51
Cole,28
Dallas,22
DeKalb,4
Franklin,67
Greene,55
Jackson,47
Jasper,125
Jefferson,555
Lafayette,12
Lincoln,92
McDonald,90
Moniteau,10
Newton,41
Osage,3
Platte,19
Polk,60
Ray,30
St. Charles3,0
St. Charles County Police Department,91
St. Louis County Police Department,1533
Warren,91
Webster,41
Adair,9
Atchison,1
Audrain,13
Barry,65
Benton,88
Butler,99
Camden,109
Carroll,4
Carter,16
Cedar,25
Chariton,28
Clark,4
Cooper,2
Crawford,26
Dade,20
Daviess,4
Dent,13
Douglas,16
Dunklin,32
Gasconade,14
Gentry,5
Grundy,6
Harrison,5
Henry,31
Hickory,2
Holt,11
Howard,13
Howell,34
Iron,22
Johnson,26
Knox,0
Laclede,34
Lawrence,66
Lewis,5
Linn,5
Livingston,0
Macon,11
Madison,16
Maries,10
Marion,6
Mercer,3
Miller,55
Mississippi,11
Monroe,3
Montgomery,6
Morgan,32
New Madrid,6
Nodaway,6
Oregon,11
Ozark,19
Pemiscot,21
Perry,29
Pettis,23
Phelps,26
Pike,4
Pulaski,41
Putnam,1
Ralls,6
Randolph,11
Reynolds,14
Ripley,10
Saline,1
Schuyler,11
Scotland,2
Shannon,10
Shelby,4
St. Clair,13
St. Francois,60
Ste. Genevieve,31
Stoddard,24
Stone,113
Sullivan,9
Taney,112
Texas,25
Vernon,81
Washington,51
Wayne,56
Worth,2
Wright,21
