County,Crime
Box Elder,6
Cache,17
Davis,14
Juab,6
Salt Lake County Unified Police Department,729
Tooele,24
Utah,43
Washington,18
Weber,43
Beaver,3
Daggett,1
Duchesne,24
Emery,17
Grand,4
Iron,31
Kane,4
Millard,33
Rich,2
San Juan,9
Sanpete,6
Sevier,8
Summit,33
Uintah,29
Wasatch,13
