County,Crime
Cache,21
Davis,21
Juab,5
Morgan,7
Salt Lake ,561
Summit,16
Tooele,24
Utah,13
Washington,15
Weber,36
Beaver,4
Box Elder,10
Carbon,6
Daggett,0
Duchesne,15
Emery,1
Grand,2
Iron,24
Millard,16
Rich,2
San Juan,7
Sevier,14
Uintah,29
Wasatch,7
Wayne,5
